Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Algorithm,Wall_Clock_Time,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,Restarts,current_restart
0,48.0,1000,0.2835105619742535,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
1,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
2,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
4,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
8,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
16,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
32,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
64,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
128,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
256,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
512,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
1024,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
2048,55.0,2002,0.4319802909740247,"[0, 0, 5, 5, 7, 4, 2, 5, 6, 5, 2, 0, 1, 3, 5, 7, 7, 6, 2, 5, 7, 0, 6, 1, 1]",1000.0,0.5,2048,GA,0.43763303756713867,,,,,,,,
0,49.0,1000,0.0579035310074687,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",1000.0,0.5,2048,GA,0.1858830451965332,,,,,,,,
1,55.0,2002,0.18108894501347095,"[0, 4, 0, 5, 6, 6, 0, 7, 7, 3, 1, 5, 6, 3, 0, 2, 3, 3, 6, 6, 7, 2, 3, 5, 1]",1000.0,0.5,2048,GA,0.1858830451965332,,,,,,,,
