Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Algorithm,Wall_Clock_Time,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,Restarts,current_restart
0,1.0,1000,0.11246475897496566,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
1,36.0,2002,0.3067960919579491,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
2,41.0,3004,0.3907663790159859,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
4,43.0,5007,0.6107096599880606,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
8,44.0,9012,0.9296250859624706,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
16,44.0,17020,1.5152772389701568,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
32,46.0,33038,3.012310045014601,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
64,46.0,65070,8.473845969012473,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
128,46.0,129134,15.300690309959464,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
256,46.0,232237,23.899615286965854,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
512,46.0,232237,23.899615286965854,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
1024,46.0,232237,23.899615286965854,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
2048,46.0,232237,23.899615286965854,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000.0,0.2,2048,GA,23.90440607070923,,,,,,,,
0,3.0,1000,0.05965554999420419,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",1000.0,0.2,2048,GA,24.45840096473694,,,,,,,,
