Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,Population_Size,Mutation_Rate,Problem_Size,Seed,Wall_Clock_Time
0,1.0,1000,0.1724296499742195,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
1,36.0,2002,0.9253927509998903,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
2,41.0,3004,1.4451702689984813,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
4,43.0,5007,1.6677198159741238,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
8,44.0,9012,2.0075503299885895,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
16,44.0,17020,2.7168489469913766,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
32,46.0,33038,4.207747163978638,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
64,46.0,65070,6.749374620994786,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
128,46.0,129134,13.122835360991303,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
256,46.0,232237,22.68885382299777,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
512,46.0,232237,22.68885382299777,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
1024,46.0,232237,22.68885382299777,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
2048,46.0,232237,22.68885382299777,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,55,22.69693422317505
0,3.0,1000,0.02262877899920568,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
1,37.0,2002,0.10644493298605084,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
2,37.0,3003,0.19717756399768405,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
4,39.0,5007,0.38374454400036484,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
8,42.0,9012,0.7411386939929798,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
16,46.0,17023,1.4413145839935169,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
32,46.0,33039,2.8026330759748816,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
64,46.0,65071,5.833514556987211,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
128,46.0,129135,12.25706828897819,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
256,46.0,215221,20.72924866498215,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
512,46.0,215221,20.72924866498215,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
1024,46.0,215221,20.72924866498215,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
2048,46.0,215221,20.72924866498215,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,888,20.73428511619568
0,0.0,1000,0.021684225008357316,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
1,33.0,2002,0.09858190000522882,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
2,35.0,3004,0.18735373902018182,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
4,39.0,5008,0.35417548299301416,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
8,40.0,9013,0.7441678869945463,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
16,46.0,17023,1.3977829460054636,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
32,46.0,33039,2.764079001994105,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
64,46.0,65071,5.639748374000192,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
128,46.0,129135,14.381344216002617,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
256,46.0,212218,23.446166286012158,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
512,46.0,212218,23.446166286012158,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
1024,46.0,212218,23.446166286012158,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
2048,46.0,212218,23.446166286012158,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",1000,0.2,2048,1000,0.2,25,12345,23.451074838638306
0,1.0,1000,0.02181151299737394,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1000,0.07,2048,1000,0.07,50,55,23.999704837799072
1,11.0,2002,0.09659543700399809,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1000,0.07,2048,1000,0.07,50,55,23.999704837799072
