Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0.0026846869732253253,48.0,25.0,25,0.1,2048
1,0.01587180799106136,53.0,52.0,25,0.1,2048
2,0.03365273401141167,53.0,78.0,25,0.1,2048
3,0.08381129597546533,53.0,104.0,25,0.1,2048
4,0.08797215000959113,54.0,131.0,25,0.1,2048
5,0.11497398500796407,54.0,157.0,25,0.1,2048
6,0.12686514697270468,54.0,183.0,25,0.1,2048
7,0.1421441049897112,54.0,209.0,25,0.1,2048
8,0.14746685099089518,54.0,235.0,25,0.1,2048
9,0.17461659299442545,54.0,261.0,25,0.1,2048
10,0.19857038697227836,54.0,287.0,25,0.1,2048
11,0.20585434295935556,54.0,313.0,25,0.1,2048
12,0.2093096409807913,54.0,339.0,25,0.1,2048
13,0.21197860996471718,54.0,365.0,25,0.1,2048
14,0.21455849200719967,55.0,392.0,25,0.1,2048
0,0.0026846869732253253,48.0,50.0,50,0.1,2048
1,0.01587180799106136,54.0,102.0,50,0.1,2048
2,0.03365273401141167,54.0,153.0,50,0.1,2048
3,0.08381129597546533,54.0,204.0,50,0.1,2048
4,0.08797215000959113,54.0,255.0,50,0.1,2048
5,0.11497398500796407,54.0,306.0,50,0.1,2048
6,0.12686514697270468,54.0,357.0,50,0.1,2048
7,0.1421441049897112,54.0,408.0,50,0.1,2048
8,0.14746685099089518,54.0,459.0,50,0.1,2048
9,0.17461659299442545,54.0,510.0,50,0.1,2048
10,0.19857038697227836,54.0,561.0,50,0.1,2048
11,0.20585434295935556,54.0,612.0,50,0.1,2048
12,0.2093096409807913,54.0,663.0,50,0.1,2048
13,0.21197860996471718,54.0,714.0,50,0.1,2048
14,0.21455849200719967,54.0,765.0,50,0.1,2048
15,0.0028578350320458412,54.0,816.0,50,0.1,2048
16,0.009804391011130065,54.0,867.0,50,0.1,2048
17,0.023904855013825,54.0,918.0,50,0.1,2048
18,0.037018584029283375,55.0,970.0,50,0.1,2048
0,0.0026846869732253253,48.0,100.0,100,0.1,2048
1,0.01587180799106136,53.0,202.0,100,0.1,2048
2,0.03365273401141167,54.0,304.0,100,0.1,2048
3,0.08381129597546533,54.0,405.0,100,0.1,2048
4,0.08797215000959113,54.0,506.0,100,0.1,2048
5,0.11497398500796407,55.0,608.0,100,0.1,2048
0,0.0026846869732253253,48.0,250.0,250,0.1,2048
1,0.01587180799106136,55.0,502.0,250,0.1,2048
0,0.0026846869732253253,48.0,500.0,500,0.1,2048
1,0.01587180799106136,55.0,1002.0,500,0.1,2048
0,0.0026846869732253253,48.0,750.0,750,0.1,2048
1,0.01587180799106136,55.0,1502.0,750,0.1,2048
0,0.0026846869732253253,48.0,1000.0,1000,0.1,2048
1,0.01587180799106136,55.0,2002.0,1000,0.1,2048
