Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,Problem_Size,Seed,Wall_Clock_Time
0,48.0,0,0.00021839496912434697,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",0,2048,0,25,55,0.09167218208312988
1,48.0,1,0.0018931999802589417,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",0,2048,0,25,55,0.09167218208312988
2,49.0,3,0.0034493280109018087,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
4,50.0,6,0.0055975139839574695,"[5, 2, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
8,50.0,10,0.0075160019914619625,"[5, 2, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
16,50.0,18,0.013446290977299213,"[5, 2, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
32,51.0,35,0.031135881959926337,"[5, 2, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 5, 5, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
64,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
128,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
256,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
512,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
1024,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
2048,55.0,57,0.08574252901598811,"[5, 2, 7, 0, 2, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 2, 3, 6, 5, 6, 4, 0, 7, 0, 7]",0,2048,0,25,55,0.09167218208312988
0,49.0,0,0.00016368000069633126,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
1,49.0,1,0.0018079529982060194,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
2,49.0,2,0.0034794689854606986,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
4,50.0,5,0.004944031010381877,"[6, 2, 5, 7, 6, 3, 7, 6, 7, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
8,50.0,9,0.006461490003857762,"[6, 2, 5, 7, 6, 3, 7, 6, 7, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
16,52.0,19,0.008775664027780294,"[6, 2, 5, 7, 6, 3, 7, 6, 7, 4, 5, 1, 0, 1, 4, 0, 1, 1, 0, 6, 2, 3, 2, 2, 6]",0,2048,0,25,888,0.027606964111328125
32,53.0,36,0.011566550994757563,"[6, 2, 5, 7, 6, 3, 7, 6, 7, 4, 5, 1, 0, 1, 4, 0, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
64,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
128,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
256,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
512,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
1024,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
2048,55.0,58,0.020981691021006554,"[6, 2, 5, 7, 6, 3, 7, 7, 7, 4, 5, 1, 0, 1, 4, 5, 1, 1, 0, 6, 2, 3, 2, 2, 4]",0,2048,0,25,888,0.027606964111328125
0,47.0,0,0.00024234602460637689,"[2, 5, 5, 1, 4, 1, 6, 6, 5, 2, 5, 1, 6, 1, 3, 6, 1, 3, 7, 6, 0, 2, 1, 3, 5]",0,2048,0,25,12345,0.16876506805419922
