Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
0,1.0,0,0.0012629060074687004,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",exponential,750,0.005,0.001,749.9952641174244,750,2048,exp_decay,25,55,0.8879611492156982,
1,3.0,2,0.015446072997292504,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",exponential,750,0.005,0.001,749.942079462901,750,2048,exp_decay,25,55,0.8879611492156982,
2,3.0,4,0.024051198008237407,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,750,0.005,0.001,749.9098134303154,750,2048,exp_decay,25,55,0.8879611492156982,
4,3.0,8,0.03262306400574744,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",exponential,750,0.005,0.001,749.8776734869139,750,2048,exp_decay,25,55,0.8879611492156982,
8,0.0,16,0.061243021016707644,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",exponential,750,0.005,0.001,749.7703738304825,750,2048,exp_decay,25,55,0.8879611492156982,
16,0.0,32,0.07978789100889117,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",exponential,750,0.005,0.001,749.7008550830392,750,2048,exp_decay,25,55,0.8879611492156982,
32,7.0,64,0.08559529201011173,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",exponential,750,0.005,0.001,749.6790863316083,750,2048,exp_decay,25,55,0.8879611492156982,
64,4.0,128,0.1336189080029726,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",exponential,750,0.005,0.001,749.4990964390875,750,2048,exp_decay,25,55,0.8879611492156982,
128,1.0,256,0.1581825050234329,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",exponential,750,0.005,0.001,749.407050122814,750,2048,exp_decay,25,55,0.8879611492156982,
256,5.0,512,0.20535878199734725,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",exponential,750,0.005,0.001,749.2302997968754,750,2048,exp_decay,25,55,0.8879611492156982,
