Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
0,1.0,0,0.0019949149864260107,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",arithmetic,750,0.0001,0.001,749.9999998005085,750,2048,arith_decay,
1,3.0,2,0.006608217983739451,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]",arithmetic,750,0.0001,0.001,749.9999993391782,750,2048,arith_decay,
2,3.0,4,0.00946096598636359,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,750,0.0001,0.001,749.9999990539034,750,2048,arith_decay,
4,3.0,8,0.013200853980379179,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]",arithmetic,750,0.0001,0.001,749.9999986799146,750,2048,arith_decay,
8,0.0,16,0.027666049980325624,"[0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",arithmetic,750,0.0001,0.001,749.999997233395,750,2048,arith_decay,
16,0.0,32,0.08742552399053238,"[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",arithmetic,750,0.0001,0.001,749.9999912574476,750,2048,arith_decay,
32,7.0,64,0.13200076899374835,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",arithmetic,750,0.0001,0.001,749.9999867999231,750,2048,arith_decay,
64,4.0,128,0.14150873399921693,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",arithmetic,750,0.0001,0.001,749.9999858491266,750,2048,arith_decay,
128,1.0,256,0.2379719250020571,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]",arithmetic,750,0.0001,0.001,749.9999762028075,750,2048,arith_decay,
256,5.0,512,0.29982887499500066,"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",arithmetic,750,0.0001,0.001,749.9999700171124,750,2048,arith_decay,
512,0.0,1024,0.8017731249856297,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",arithmetic,750,0.0001,0.001,749.9999198226875,750,2048,arith_decay,
