Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,schedule_exp_const
0,48.0,0,0.0004528400022536516,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",arithmetic,1000,0.0001,0.001,999.999999954716,1000,2048,arith_decay,
1,47.0,2,0.0051733029540628195,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",arithmetic,1000,0.0001,0.001,999.9999994826698,1000,2048,arith_decay,
2,49.0,4,0.01173336198553443,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",arithmetic,1000,0.0001,0.001,999.9999988266638,1000,2048,arith_decay,
4,48.0,8,0.022308570973109454,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",arithmetic,1000,0.0001,0.001,999.9999977691429,1000,2048,arith_decay,
8,48.0,16,0.045216002967208624,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",arithmetic,1000,0.0001,0.001,999.9999954783997,1000,2048,arith_decay,
16,47.0,32,0.06695936998585239,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",arithmetic,1000,0.0001,0.001,999.999993304063,1000,2048,arith_decay,
32,45.0,64,0.11523202795069665,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",arithmetic,1000,0.0001,0.001,999.9999884767972,1000,2048,arith_decay,
64,48.0,128,0.19290342496242374,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",arithmetic,1000,0.0001,0.001,999.9999807096575,1000,2048,arith_decay,
128,52.0,256,0.22779387998161837,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",arithmetic,1000,0.0001,0.001,999.999977220612,1000,2048,arith_decay,
256,51.0,512,0.5789659729925916,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",arithmetic,1000,0.0001,0.001,999.9999421034026,1000,2048,arith_decay,
512,51.0,1024,0.8139891129685566,"[6, 2, 5, 1, 4, 1, 1, 1, 3, 6, 0, 1, 0, 2, 2, 7, 7, 7, 2, 5, 6, 3, 2, 5, 1]",arithmetic,1000,0.0001,0.001,999.9999186010887,1000,2048,arith_decay,
1024,45.0,2048,1.0383619989734143,"[7, 4, 3, 1, 2, 6, 4, 1, 3, 3, 5, 2, 4, 7, 6, 1, 4, 4, 4, 6, 6, 4, 6, 1, 4]",arithmetic,1000,0.0001,0.001,999.9998961638001,1000,2048,arith_decay,
2048,47.0,4096,1.8011472739744931,"[6, 1, 5, 0, 1, 6, 1, 7, 4, 1, 3, 1, 3, 1, 1, 4, 4, 2, 3, 7, 2, 4, 0, 0, 4]",arithmetic,1000,0.0001,0.001,999.9998198852726,1000,2048,arith_decay,
0,48.0,0,0.00031154195312410593,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,,0.001,999.9984422914476,1000,2048,exp_decay,0.005
1,47.0,2,0.0026900789816863835,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,,0.001,999.9865496955476,1000,2048,exp_decay,0.005
2,49.0,4,0.004214392974972725,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,,0.001,999.9789282571375,1000,2048,exp_decay,0.005
4,48.0,8,0.006235511973500252,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,,0.001,999.9688229261475,1000,2048,exp_decay,0.005
8,48.0,16,0.00812083698110655,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",exponential,1000,,0.001,999.9593966394332,1000,2048,exp_decay,0.005
16,47.0,32,0.011606241983827204,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",exponential,1000,,0.001,999.9419704738589,1000,2048,exp_decay,0.005
32,45.0,64,0.015744081989396363,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",exponential,1000,,0.001,999.9212826884232,1000,2048,exp_decay,0.005
64,48.0,128,0.022491476964205503,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",exponential,1000,,0.001,999.8875489382737,1000,2048,exp_decay,0.005
128,52.0,256,0.034581220999825746,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",exponential,1000,,0.001,999.8271088423999,1000,2048,exp_decay,0.005
