Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
0,48.0,0,0.0003104819916188717,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9984475912469,1000,2048,exp_decay,25,55,0.7846078872680664
1,47.0,2,0.0024498570128344,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.987750789958,1000,2048,exp_decay,25,55,0.7846078872680664
2,49.0,4,0.004733776033390313,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9763313999388,1000,2048,exp_decay,25,55,0.7846078872680664
4,48.0,8,0.006831653008703142,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9658423183434,1000,2048,exp_decay,25,55,0.7846078872680664
8,48.0,16,0.009635024005547166,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9518260403747,1000,2048,exp_decay,25,55,0.7846078872680664
16,47.0,32,0.01327094400767237,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",exponential,1000,0.005,0.001,999.9336474813873,1000,2048,exp_decay,25,55,0.7846078872680664
32,45.0,64,0.027836833032779396,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",exponential,1000,0.005,0.001,999.8608255205027,1000,2048,exp_decay,25,55,0.7846078872680664
64,48.0,128,0.07934545999160036,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",exponential,1000,0.005,0.001,999.6033513859113,1000,2048,exp_decay,25,55,0.7846078872680664
128,52.0,256,0.11287535598967224,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",exponential,1000,0.005,0.001,999.4357824506698,1000,2048,exp_decay,25,55,0.7846078872680664
256,51.0,512,0.18937725602881983,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",exponential,1000,0.005,0.001,999.0535618752077,1000,2048,exp_decay,25,55,0.7846078872680664
512,51.0,1024,0.26367074402514845,"[6, 2, 5, 1, 4, 1, 1, 1, 3, 6, 0, 1, 0, 2, 2, 7, 7, 7, 2, 5, 6, 3, 2, 5, 1]",exponential,1000,0.005,0.001,998.6825149263702,1000,2048,exp_decay,25,55,0.7846078872680664
1024,50.0,2029,0.4978742339881137,"[5, 3, 7, 6, 3, 2, 5, 7, 3, 0, 0, 7, 4, 6, 1, 7, 5, 4, 3, 6, 7, 0, 2, 3, 2]",exponential,1000,0.005,0.001,997.513724744977,1000,2048,exp_decay,25,55,0.7846078872680664
2048,55.0,2763,0.7747641400201246,"[6, 0, 7, 7, 7, 1, 2, 0, 2, 6, 1, 1, 0, 4, 0, 7, 4, 4, 2, 7, 5, 7, 4, 3, 6]",exponential,1000,0.005,0.001,996.1336728639436,1000,2048,exp_decay,25,55,0.7846078872680664
0,49.0,0,0.0001823300262913108,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",exponential,1000,0.005,0.001,999.9990883502841,1000,2048,exp_decay,25,888,0.5172791481018066
1,48.0,2,0.0019993900205008686,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 1, 3, 2, 2, 6]",exponential,1000,0.005,0.001,999.9900030998668,1000,2048,exp_decay,25,888,0.5172791481018066
