Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time
0,48.0,0,0.0002181439776904881,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9978075821632,1000,2048,geom_decay,25,55,0.7174468040466309
1,47.0,2,0.002443647012114525,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9754408284023,1000,2048,geom_decay,25,55,0.7174468040466309
2,49.0,4,0.005511978000868112,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.9446043042724,1000,2048,geom_decay,25,55,0.7174468040466309
4,48.0,8,0.015243223984725773,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.8468122139107,1000,2048,geom_decay,25,55,0.7174468040466309
8,48.0,16,0.02198624302400276,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",geometric,1000,0.99,0.001,999.7790552853314,1000,2048,geom_decay,25,55,0.7174468040466309
16,47.0,32,0.04901145998155698,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",geometric,1000,0.99,0.001,999.5075396649304,1000,2048,geom_decay,25,55,0.7174468040466309
32,45.0,64,0.07918107998557389,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",geometric,1000,0.99,0.001,999.2045201149161,1000,2048,geom_decay,25,55,0.7174468040466309
64,48.0,128,0.11035895103123039,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",geometric,1000,0.99,0.001,998.8914703511327,1000,2048,geom_decay,25,55,0.7174468040466309
128,52.0,256,0.22057780798058957,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",geometric,1000,0.99,0.001,997.7855744139382,1000,2048,geom_decay,25,55,0.7174468040466309
256,51.0,512,0.3881378329824656,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",geometric,1000,0.99,0.001,996.1066831084293,1000,2048,geom_decay,25,55,0.7174468040466309
512,47.0,1017,0.6645587580278516,"[2, 3, 3, 1, 4, 1, 5, 0, 5, 6, 0, 2, 0, 1, 2, 7, 0, 7, 0, 5, 0, 7, 1, 1, 1]",geometric,1000,0.99,0.001,993.3432164911419,1000,2048,geom_decay,25,55,0.7174468040466309
1024,55.0,1261,0.7102019290323369,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,0.99,0.001,992.8876454539455,1000,2048,geom_decay,25,55,0.7174468040466309
2048,55.0,1261,0.7102019290323369,"[4, 7, 5, 1, 7, 1, 2, 6, 5, 6, 0, 6, 1, 5, 0, 4, 7, 2, 4, 3, 4, 7, 2, 3, 1]",geometric,1000,0.99,0.001,992.8876454539455,1000,2048,geom_decay,25,55,0.7174468040466309
0,49.0,0,0.0001625459990464151,"[6, 2, 5, 7, 6, 3, 7, 6, 1, 4, 5, 1, 0, 5, 4, 0, 1, 3, 0, 6, 2, 3, 2, 2, 6]",geometric,1000,0.99,0.001,999.9983663594523,1000,2048,geom_decay,25,888,0.23464179039001465
