Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,Decay_Type,Problem_Size,Seed,Wall_Clock_Time,schedule_decay
0,48.0,0,0.0004059739876538515,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9979701321218,1000,2048,exp_decay,25,55,1.6841099262237549,
1,47.0,2,0.009284401021432132,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9535790723775,1000,2048,exp_decay,25,55,1.6841099262237549,
2,49.0,4,0.014606121985707432,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.9269720567415,1000,2048,exp_decay,25,55,1.6841099262237549,
4,48.0,8,0.02258538902970031,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.887079430859,1000,2048,exp_decay,25,55,1.6841099262237549,
8,48.0,16,0.031043787021189928,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",exponential,1000,0.005,0.001,999.8447931107297,1000,2048,exp_decay,25,55,1.6841099262237549,
16,47.0,32,0.06582340900786221,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",exponential,1000,0.005,0.001,999.6709371080343,1000,2048,exp_decay,25,55,1.6841099262237549,
32,45.0,64,0.17742955399444327,"[7, 2, 1, 7, 2, 3, 6, 2, 7, 4, 2, 1, 5, 4, 7, 6, 5, 5, 7, 2, 6, 4, 7, 6, 7]",exponential,1000,0.005,0.001,999.1132456292676,1000,2048,exp_decay,25,55,1.6841099262237549,
64,48.0,128,0.20785792102105916,"[1, 2, 5, 7, 0, 3, 4, 2, 7, 6, 4, 6, 5, 4, 1, 6, 6, 5, 4, 2, 2, 1, 7, 0, 6]",exponential,1000,0.005,0.001,998.9612502692916,1000,2048,exp_decay,25,55,1.6841099262237549,
128,52.0,256,0.2297579440055415,"[4, 3, 0, 2, 0, 7, 7, 1, 5, 1, 0, 0, 3, 6, 4, 6, 2, 7, 4, 4, 6, 2, 5, 7, 1]",exponential,1000,0.005,0.001,998.8518698862755,1000,2048,exp_decay,25,55,1.6841099262237549,
256,51.0,512,0.4809935470111668,"[2, 1, 1, 6, 6, 6, 5, 7, 0, 7, 2, 5, 6, 3, 5, 5, 5, 0, 2, 1, 2, 2, 0, 4, 6]",exponential,1000,0.005,0.001,997.597921882904,1000,2048,exp_decay,25,55,1.6841099262237549,
512,51.0,1024,0.8426421500043944,"[6, 2, 5, 1, 4, 1, 1, 1, 3, 6, 0, 1, 0, 2, 2, 7, 7, 7, 2, 5, 6, 3, 2, 5, 1]",exponential,1000,0.005,0.001,995.7956523706226,1000,2048,exp_decay,25,55,1.6841099262237549,
1024,50.0,2029,1.3216037970269099,"[5, 3, 7, 6, 3, 2, 5, 7, 3, 0, 0, 7, 4, 6, 1, 7, 5, 4, 3, 6, 7, 0, 2, 3, 2]",exponential,1000,0.005,0.001,993.4137659607951,1000,2048,exp_decay,25,55,1.6841099262237549,
2048,55.0,2763,1.674482448026538,"[6, 0, 7, 7, 7, 1, 2, 0, 2, 6, 1, 1, 0, 4, 0, 7, 4, 4, 2, 7, 5, 7, 4, 3, 6]",exponential,1000,0.005,0.001,991.662538793722,1000,2048,exp_decay,25,55,1.6841099262237549,
0,48.0,0,0.00016878597671166062,"[5, 2, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,,0.001,999.9983036456855,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
1,47.0,2,0.0016986349946819246,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 6, 4, 0, 7, 7, 7]",geometric,1000,,0.001,999.9829282935342,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
2,49.0,4,0.0031019209418445826,"[5, 6, 7, 0, 5, 5, 5, 5, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,,0.001,999.9688251386896,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
4,48.0,8,0.005448437994346023,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 5, 3, 1, 6, 0, 3, 6, 6, 5, 5, 2, 4, 0, 7, 7, 7]",geometric,1000,,0.001,999.9452428675063,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
8,48.0,16,0.00778334797360003,"[7, 6, 7, 0, 5, 5, 5, 6, 7, 4, 3, 1, 5, 0, 0, 6, 6, 5, 1, 2, 4, 0, 7, 7, 7]",geometric,1000,,0.001,999.9217777983166,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
16,47.0,32,0.01033915695734322,"[7, 5, 7, 0, 5, 5, 5, 2, 7, 4, 7, 1, 5, 7, 0, 6, 5, 5, 7, 2, 4, 0, 7, 3, 7]",geometric,1000,,0.001,999.8960933988014,1000,2048,geom_decay,25,55,0.24989700317382812,0.99
